WoS Ekonomika

WEAPONS	                    CENA
StormPistol	                150
laserPistol	                200
zscStrifeCrossbow	        150
staffBlaster	            --
zscAssaultGun	            250
zscMiniMissileLauncher	    650
zscFlameThrower	            850
zscStrifeGrenadeLauncher    750
zscMauler	                950
shoulderGun	                --

ARMOR	
wosLeatherArmor	            100
wosMetalArmor	            200
wosBinderArmorBasic	        120
wosBinderArmorAdvanced	    240
wosKineticArmor	            360

ITEMS	
wosBoltsElectric	        25
wosBoltsPoison	            75
wosBundlePoison	            50
wosBundleElectric	        15
wosBulletsBox				50
wosEnergyPod				10
wosEnergyKit				30
wosEnergyPack				50
wosBulletCartridge			10
wosBundleMiniMissile		35
wosHEGrenadeBox				30
wosPhosphorusGrenadeBox		30
ammoSatchel_item			500
wosArmorShard				15
wosPortableMap				75
wosBlasterTurret			75
wosDeployableShield			150
wosEnvSuit					75
wosFlameTurret				50
Flare						5
FlareBox					25
wosWaterBottle				2
wosBeerBottle				3
wosAleBottle				3
wosVineBottle				4
wosSpiritsBottle            12
wosHamburger				2
wosCheeseburger				3
wosBigburger				4
wosCheeseburgerDouble		5
wosHotdog01					3
wosHotdog02					4
wosDonuts					2
wosFoodBox					12
wosFoodRation1				10
wosFoodRation2				10
wosFoodRation3				10
wosGrilledChicken			25
wosSoyFood                  13
wosSodaCan                  5
wosCandyBar                 7
wosGrenadeE					5
wosGrenadeF					15
wosGrenadeG					10
wosHyposprej				25(10)
wosKombopack				50(25)
wosInstaLek					100
zscMedPatch					10
zscMedicalKit				25
zscSurgeryKit				100
wosi_StimDevice				25
wosInterceptorDrone			150
wosNightEyeDevice			50
wosRebreather				35
wosRegenModule				125
wosShadowArmor				100
shoulderGunCharger			--
wosSpringMine				50
wosSwarmers					35
wosTargeter					25
wosBinocular				120
